,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181
82,2646548988.0,0.0,10.0,2.0,0.0,0.0,0.0,1.0,3.0,9.0,0.0,9.0,0.0,21.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,17.0,7.0,0.0,14.0,3.0,2.0,0.0,2.0,10.0,0.0,1.0,0.0,19.0,0.0,7.0,11.0,0.0,0.0,0.0,3.0,11.0,0.0,18.0,2.0,2.0,13.0,0.0,10.0,7.0,1.0,21.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,1.0,0.0,10.0,0.0,16.0,0.0,0.0,7.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,12.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,15.0,0.0,18.0,0.0,6.0,0.0,2.0,0.0,0.0,18.0,1.0,1.0,10.0,0.0,13.0,20.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,21.0,8.0,0.0,23.0,4.0,0.0,10.0,0.0,0.0,23.0,0.0,11.0,0.0,10.0,0.0,0.0,24.0,0.0
83,2686515086.0,3.0,10.0,2.0,12.0,8.0,1.0,3.0,7.0,3.0,0.0,4.0,0.0,20.0,0.0,16.0,0.0,2.0,0.0,3.0,0.0,5.0,9.0,3.0,0.0,32.0,13.0,7.0,0.0,4.0,3.0,0.0,4.0,0.0,7.0,7.0,21.0,2.0,1.0,12.0,8.0,3.0,23.0,7.0,13.0,7.0,3.0,8.0,4.0,2.0,5.0,1.0,20.0,3.0,4.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,12.0,0.0,3.0,0.0,1.0,59.0,1.0,1.0,0.0,0.0,5.0,4.0,0.0,4.0,0.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,5.0,4.0,36.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,10.0,6.0,0.0,0.0,2.0,22.0,0.0,0.0,9.0,2.0,3.0,2.0,3.0,2.0,0.0,10.0,0.0,21.0,1.0,1.0,1.0,2.0,0.0,0.0,39.0,1.0,2.0,1.0,11.0,1.0,8.0,0.0,16.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,21.0,7.0,3.0,1.0,1.0,0.0,5.0,0.0,11.0,0.0,1.0,0.0,0.0,25.0,4.0
84,279973577.0,1.0,2.0,0.0,4.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,16.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0
85,2834871966.0,0.0,3.0,1.0,3.0,0.0,4.0,0.0,2.0,1.0,0.0,1.0,1.0,8.0,0.0,4.0,0.0,4.0,1.0,3.0,1.0,1.0,5.0,1.0,0.0,3.0,1.0,3.0,1.0,2.0,7.0,0.0,0.0,1.0,6.0,1.0,3.0,4.0,4.0,5.0,5.0,3.0,6.0,7.0,2.0,8.0,0.0,1.0,5.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,6.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,6.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,2.0,3.0,0.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,10.0,1.0,1.0,5.0,0.0
86,2835160283.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
87,2836044036.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0
88,285498769.0,0.0,3.0,1.0,5.0,3.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,4.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,4.0,0.0,2.0,1.0,2.0,6.0,0.0,6.0,1.0,2.0,1.0,2.0,3.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,6.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,8.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,4.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,1.0,3.0,0.0
89,286625089.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
90,2913423924.0,2.0,2.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,4.0,3.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0
91,292835123.0,2.0,18.0,1.0,3.0,1.0,2.0,1.0,7.0,9.0,0.0,15.0,1.0,32.0,0.0,7.0,1.0,3.0,0.0,5.0,2.0,6.0,50.0,10.0,0.0,18.0,8.0,17.0,1.0,5.0,13.0,0.0,2.0,1.0,23.0,2.0,13.0,24.0,3.0,0.0,3.0,13.0,22.0,2.0,28.0,3.0,2.0,20.0,1.0,15.0,13.0,3.0,51.0,8.0,45.0,3.0,1.0,1.0,1.0,2.0,34.0,1.0,2.0,1.0,14.0,0.0,0.0,11.0,2.0,1.0,9.0,0.0,39.0,0.0,0.0,7.0,1.0,4.0,1.0,12.0,2.0,0.0,9.0,4.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,14.0,1.0,0.0,1.0,1.0,84.0,0.0,0.0,1.0,0.0,20.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,11.0,0.0,1.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,19.0,1.0,0.0,14.0,1.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,6.0,2.0,0.0,20.0,0.0,28.0,0.0,37.0,0.0,2.0,0.0,1.0,49.0,2.0,40.0,88.0,1.0,14.0,30.0,0.0,11.0,3.0,0.0,0.0,0.0,1.0,29.0,74.0,0.0,43.0,13.0,1.0,9.0,1.0,0.0,22.0,0.0,15.0,0.0,13.0,1.0,1.0,34.0,0.0
92,29345440.0,6.0,9.0,0.0,27.0,22.0,11.0,1.0,4.0,0.0,0.0,3.0,1.0,26.0,1.0,23.0,0.0,14.0,2.0,1.0,5.0,4.0,7.0,1.0,0.0,48.0,2.0,12.0,1.0,6.0,17.0,0.0,3.0,2.0,10.0,4.0,7.0,6.0,14.0,42.0,25.0,4.0,24.0,27.0,1.0,48.0,1.0,3.0,20.0,2.0,7.0,6.0,8.0,2.0,1.0,1.0,2.0,4.0,5.0,3.0,6.0,3.0,15.0,10.0,1.0,0.0,3.0,7.0,1.0,4.0,3.0,1.0,1.0,12.0,0.0,21.0,0.0,4.0,2.0,3.0,3.0,0.0,0.0,9.0,2.0,6.0,0.0,1.0,2.0,0.0,17.0,2.0,0.0,1.0,0.0,14.0,3.0,6.0,4.0,2.0,11.0,2.0,0.0,5.0,5.0,0.0,15.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,4.0,5.0,1.0,5.0,0.0,0.0,2.0,6.0,9.0,0.0,3.0,21.0,0.0,1.0,3.0,23.0,1.0,4.0,8.0,8.0,14.0,8.0,7.0,4.0,0.0,2.0,1.0,11.0,1.0,0.0,2.0,0.0,0.0,4.0,33.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,2.0,6.0,1.0,0.0,0.0,9.0,3.0,1.0,0.0,26.0,8.0,2.0,0.0,0.0,2.0,8.0,0.0,2.0,0.0,17.0,1.0,1.0,21.0,5.0
93,295666837.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0
94,2996035020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,304082820.0,2.0,7.0,0.0,13.0,1.0,5.0,1.0,4.0,0.0,0.0,1.0,0.0,9.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,0.0,2.0,0.0,10.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,5.0,0.0,2.0,14.0,6.0,2.0,4.0,11.0,9.0,13.0,2.0,2.0,3.0,1.0,11.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,4.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,17.0,0.0,0.0,1.0,39.0,0.0,0.0,4.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,1.0,2.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,1.0,0.0,0.0,16.0,3.0
96,3075985849.0,0.0,13.0,2.0,2.0,2.0,1.0,1.0,8.0,11.0,0.0,11.0,1.0,33.0,0.0,7.0,1.0,1.0,0.0,6.0,2.0,4.0,21.0,7.0,0.0,26.0,8.0,5.0,1.0,4.0,8.0,0.0,4.0,1.0,19.0,1.0,17.0,13.0,1.0,6.0,1.0,6.0,15.0,1.0,24.0,4.0,2.0,17.0,1.0,14.0,16.0,2.0,30.0,6.0,11.0,4.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,7.0,0.0,0.0,12.0,2.0,2.0,10.0,0.0,17.0,1.0,1.0,8.0,0.0,3.0,1.0,18.0,2.0,0.0,12.0,4.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,14.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,10.0,3.0,1.0,2.0,0.0,0.0,1.0,7.0,0.0,0.0,15.0,1.0,0.0,13.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,19.0,0.0,28.0,0.0,7.0,0.0,3.0,0.0,1.0,34.0,2.0,5.0,11.0,0.0,9.0,32.0,3.0,16.0,2.0,0.0,0.0,0.0,0.0,26.0,13.0,0.0,41.0,4.0,3.0,10.0,1.0,0.0,18.0,0.0,19.0,0.0,9.0,1.0,1.0,38.0,1.0
97,308563.0,3.0,4.0,0.0,21.0,8.0,1.0,1.0,2.0,0.0,0.0,4.0,0.0,13.0,0.0,27.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,17.0,6.0,10.0,0.0,2.0,1.0,0.0,5.0,0.0,4.0,16.0,7.0,0.0,2.0,29.0,10.0,1.0,22.0,13.0,2.0,9.0,4.0,1.0,11.0,4.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,24.0,0.0,1.0,0.0,0.0,1.0,8.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,36.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,8.0,0.0,0.0,1.0,29.0,0.0,0.0,10.0,3.0,2.0,3.0,4.0,5.0,0.0,3.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,4.0,7.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,9.0,7.0,1.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,14.0,9.0
98,308716323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
99,310901751.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,14.0,1.0,1.0,30.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
