,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,-1.0,179415371.0,2287068576.0,2669743933.0,704505936.0,7.27385453553406e+17,793015741.0,8.087606806188728e+17,8.293722061321134e+17,8.376828597710643e+17,8.402409770674831e+17,8.595669713603543e+17,8.724309224020664e+17,8.80563468532949e+17,8.923646005529395e+17,8.935062087406428e+17,8.967026632152392e+17,9.001591328120504e+17,9.180867526354616e+17,9.416130470718136e+17,9.506353031983145e+17,9.578804083220357e+17,9.603491752998339e+17,9.611396933530788e+17,9.611536293348639e+17
1,179415371.0,0.0,0.0,15.0,27.0,31.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,5.0,10.0,1.0,4.0,5.0
2,2287068576.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,3.0,14.0,5.0,4.0,1.0,14.0,9.0,4.0,0.0,0.0,6.0,3.0,6.0,0.0,0.0,0.0
3,2669743933.0,15.0,0.0,0.0,7.0,21.0,1.0,9.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,4.0,3.0
4,704505936.0,27.0,0.0,7.0,0.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,5.0
5,7.27385453553406e+17,31.0,0.0,21.0,7.0,0.0,1.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,2.0,4.0,3.0
6,793015741.0,1.0,4.0,1.0,0.0,1.0,0.0,1.0,10.0,10.0,16.0,9.0,7.0,1.0,11.0,9.0,10.0,0.0,0.0,4.0,7.0,25.0,0.0,0.0,0.0
7,8.087606806188728e+17,7.0,0.0,9.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,2.0,4.0
8,8.293722061321134e+17,0.0,7.0,2.0,0.0,1.0,10.0,0.0,0.0,12.0,57.0,8.0,5.0,0.0,44.0,29.0,10.0,0.0,0.0,8.0,6.0,25.0,0.0,0.0,0.0
9,8.376828597710643e+17,1.0,3.0,4.0,0.0,1.0,10.0,0.0,12.0,0.0,15.0,8.0,10.0,1.0,16.0,11.0,10.0,0.0,0.0,7.0,8.0,25.0,0.0,0.0,0.0
10,8.402409770674831e+17,0.0,14.0,0.0,0.0,0.0,16.0,0.0,57.0,15.0,0.0,15.0,12.0,2.0,75.0,50.0,11.0,0.0,0.0,7.0,5.0,24.0,0.0,0.0,0.0
11,8.595669713603543e+17,0.0,5.0,0.0,0.0,0.0,9.0,0.0,8.0,8.0,15.0,0.0,5.0,1.0,19.0,11.0,8.0,0.0,0.0,3.0,4.0,11.0,0.0,0.0,0.0
12,8.724309224020664e+17,0.0,4.0,0.0,0.0,1.0,7.0,0.0,5.0,10.0,12.0,5.0,0.0,1.0,14.0,8.0,7.0,0.0,0.0,3.0,4.0,10.0,0.0,0.0,0.0
13,8.80563468532949e+17,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0
14,8.923646005529395e+17,0.0,14.0,1.0,0.0,0.0,11.0,0.0,44.0,16.0,75.0,19.0,14.0,3.0,0.0,40.0,16.0,0.0,0.0,10.0,8.0,30.0,0.0,1.0,0.0
15,8.935062087406428e+17,2.0,9.0,0.0,0.0,0.0,9.0,0.0,29.0,11.0,50.0,11.0,8.0,1.0,40.0,0.0,9.0,0.0,1.0,8.0,5.0,16.0,0.0,1.0,0.0
16,8.967026632152392e+17,0.0,4.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,11.0,8.0,7.0,1.0,16.0,9.0,0.0,0.0,0.0,4.0,6.0,27.0,0.0,0.0,0.0
17,9.001591328120504e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,9.180867526354616e+17,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
19,9.416130470718136e+17,0.0,6.0,0.0,0.0,0.0,4.0,0.0,8.0,7.0,7.0,3.0,3.0,1.0,10.0,8.0,4.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0
20,9.506353031983145e+17,5.0,3.0,7.0,1.0,6.0,7.0,4.0,6.0,8.0,5.0,4.0,4.0,1.0,8.0,5.0,6.0,0.0,0.0,4.0,0.0,11.0,1.0,1.0,2.0
21,9.578804083220357e+17,10.0,6.0,3.0,0.0,5.0,25.0,1.0,25.0,25.0,24.0,11.0,10.0,2.0,30.0,16.0,27.0,0.0,1.0,8.0,11.0,0.0,0.0,1.0,0.0
22,9.603491752998339e+17,1.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
23,9.611396933530788e+17,4.0,0.0,4.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
24,9.611536293348639e+17,5.0,0.0,3.0,5.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0
