,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185
103,307715926.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,61.0,0.0,18.0,1.0,0.0,1.0,13.0,9.0,4.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,3.0,1.0,3.0,3.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,2.0,1.0,14.0,0.0,0.0,4.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,64.0,0.0,1.0,9.0,1.0,3.0,3.0,1.0,5.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,0.0,0.0,1.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,14.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,2.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,3.0,2.0,3.0,0.0,24.0,1.0,7.0,27.0,11.0,0.0,2.0,0.0,1.0,1.0,5.0,1.0,4.0,0.0,1.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0
104,311859741.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,4.0,0.0,0.0,1.0,6.0,10.0,0.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,4.0,1.0,4.0,0.0,2.0,0.0,1.0,4.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,3.0,0.0,6.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,13.0,3.0,0.0,3.0,1.0,3.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,5.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0
105,311907789.0,2.0,6.0,2.0,1.0,3.0,0.0,0.0,3.0,1.0,1.0,11.0,0.0,0.0,2.0,25.0,10.0,0.0,3.0,3.0,4.0,5.0,3.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,26.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,2.0,0.0,8.0,1.0,5.0,0.0,4.0,0.0,5.0,14.0,0.0,3.0,0.0,7.0,1.0,0.0,0.0,2.0,7.0,0.0,11.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,1.0,6.0,2.0,7.0,0.0,2.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,10.0,5.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,8.0,5.0,2.0,0.0,0.0,7.0,2.0,0.0,6.0,1.0,0.0,1.0,0.0,3.0,1.0,4.0,0.0,3.0,1.0,0.0,3.0,2.0,3.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,6.0,1.0,1.0,0.0,4.0,3.0,0.0,11.0,6.0,0.0,1.0,2.0,0.0,1.0,3.0,0.0
106,3142900716.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,7.0,4.0,2.0,1.0,5.0,9.0,3.0,7.0,7.0,1.0,1.0,12.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,4.0,3.0,3.0,2.0,11.0,9.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,6.0,2.0,8.0,0.0,8.0,0.0,2.0,13.0,1.0,1.0,4.0,9.0,4.0,2.0,17.0,2.0,2.0,6.0,0.0,4.0,1.0,16.0,13.0,1.0,4.0,4.0,23.0,0.0,18.0,2.0,8.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,5.0,5.0,1.0,0.0,0.0,1.0,16.0,10.0,8.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,6.0,0.0,4.0,1.0,0.0,6.0,1.0,3.0,7.0,0.0,0.0,4.0,4.0,1.0,2.0,7.0,8.0,10.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,8.0,1.0,5.0,3.0,0.0,0.0,3.0,1.0,0.0,1.0,13.0,5.0,10.0,1.0,3.0,0.0,0.0,5.0,1.0,4.0,0.0,19.0,0.0,4.0,0.0,1.0,4.0,9.0,1.0,2.0,1.0,3.0,4.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,3.0,4.0,0.0
107,314548724.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
108,3167488895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
109,317807117.0,3.0,1.0,3.0,1.0,3.0,0.0,2.0,5.0,0.0,36.0,4.0,1.0,1.0,2.0,10.0,5.0,2.0,2.0,2.0,5.0,5.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,3.0,10.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,4.0,1.0,8.0,0.0,1.0,0.0,2.0,19.0,1.0,0.0,3.0,4.0,1.0,0.0,7.0,0.0,2.0,4.0,1.0,2.0,1.0,11.0,5.0,0.0,3.0,1.0,8.0,0.0,6.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,7.0,3.0,0.0,0.0,0.0,1.0,5.0,2.0,3.0,1.0,1.0,9.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,2.0,3.0,0.0,2.0,1.0,12.0,6.0,1.0,17.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,6.0,4.0,1.0,3.0,0.0,7.0,2.0,0.0,1.0,2.0,0.0,7.0,0.0,4.0,4.0,4.0,0.0,5.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,2.0,5.0,4.0,3.0,1.0,0.0,10.0,6.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,3.0,1.0
110,318968456.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,41.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,1.0,0.0,11.0,4.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,323729538.0,3.0,1.0,4.0,1.0,8.0,0.0,0.0,2.0,0.0,3.0,7.0,1.0,0.0,3.0,14.0,20.0,0.0,4.0,2.0,2.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,15.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,3.0,0.0,1.0,3.0,0.0,5.0,0.0,3.0,0.0,1.0,4.0,2.0,1.0,8.0,2.0,5.0,1.0,6.0,1.0,2.0,5.0,0.0,3.0,0.0,9.0,5.0,0.0,0.0,2.0,6.0,0.0,7.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,1.0,1.0,1.0,4.0,3.0,4.0,1.0,0.0,5.0,3.0,4.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,3.0,0.0,3.0,6.0,0.0,2.0,1.0,10.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,7.0,6.0,1.0,5.0,0.0,7.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,4.0,0.0,3.0,0.0,0.0,3.0,1.0,1.0,0.0,5.0,0.0,2.0,0.0,1.0,2.0,6.0,2.0,2.0,0.0,2.0,6.0,0.0,2.0,0.0,0.0,0.0,3.0,4.0,1.0,5.0,0.0
112,32810761.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,4.0,4.0,1.0,0.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0
113,33261691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
114,333393117.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,4.0,6.0,0.0,1.0,2.0,4.0,1.0,5.0,2.0,0.0,4.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,3.0,5.0,2.0,1.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0,0.0,3.0,0.0,12.0,1.0,2.0,6.0,0.0,0.0,0.0,7.0,1.0,1.0,10.0,1.0,2.0,4.0,2.0,1.0,3.0,19.0,10.0,1.0,3.0,2.0,21.0,0.0,27.0,0.0,6.0,3.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,33.0,8.0,7.0,0.0,7.0,0.0,3.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,6.0,0.0,7.0,3.0,34.0,10.0,0.0,2.0,6.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,3.0,2.0,0.0,4.0,6.0,7.0,2.0,0.0,0.0,4.0,1.0,0.0,2.0,13.0,4.0,46.0,1.0,4.0,1.0,0.0,0.0,0.0,6.0,0.0,14.0,0.0,7.0,0.0,3.0,8.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0,2.0,2.0,0.0
115,333965236.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,2.0,0.0,1.0,6.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,6.0,0.0,3.0,8.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,337600534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,12.0,4.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,18.0,1.0,1.0,3.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,16.0,0.0,0.0,4.0,0.0,2.0,1.0,12.0,4.0,2.0,1.0,0.0,5.0,8.0,21.0,6.0,1.0,1.0,6.0,7.0,0.0,8.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,7.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,5.0,5.0,15.0,0.0,1.0,1.0,3.0,0.0,3.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,9.0,0.0,7.0,0.0,0.0,0.0,17.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0
117,3394752073.0,0.0,5.0,3.0,1.0,2.0,2.0,3.0,0.0,0.0,5.0,11.0,2.0,2.0,8.0,17.0,13.0,1.0,5.0,1.0,2.0,10.0,5.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,5.0,0.0,1.0,9.0,56.0,0.0,1.0,0.0,33.0,0.0,1.0,10.0,6.0,1.0,3.0,0.0,1.0,0.0,0.0,4.0,2.0,7.0,0.0,7.0,2.0,1.0,7.0,1.0,1.0,15.0,5.0,7.0,5.0,9.0,1.0,33.0,12.0,2.0,2.0,2.0,18.0,7.0,1.0,3.0,6.0,83.0,0.0,21.0,1.0,8.0,2.0,20.0,1.0,0.0,1.0,0.0,0.0,25.0,3.0,27.0,0.0,0.0,1.0,4.0,30.0,11.0,2.0,0.0,1.0,7.0,9.0,7.0,0.0,0.0,6.0,1.0,6.0,3.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,8.0,36.0,7.0,8.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,8.0,26.0,3.0,9.0,1.0,15.0,10.0,0.0,8.0,2.0,1.0,4.0,0.0,5.0,2.0,11.0,1.0,1.0,1.0,0.0,4.0,0.0,3.0,1.0,22.0,6.0,3.0,0.0,0.0,7.0,10.0,2.0,7.0,1.0,15.0,6.0,0.0,87.0,11.0,2.0,0.0,3.0,0.0,2.0,8.0,0.0
118,340241277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
119,36016511.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,40.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,0.0,0.0,0.0,6.0,5.0,12.0,6.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,8.0,0.0,0.0,2.0,6.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,20.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,365900821.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,7.0,1.0,0.0,4.0,14.0,6.0,1.0,5.0,0.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,13.0,18.0,7.0,3.0,2.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,3.0,1.0,39.0,0.0,1.0,8.0,1.0,2.0,1.0,22.0,1.0,3.0,1.0,1.0,14.0,8.0,52.0,17.0,1.0,0.0,13.0,13.0,0.0,33.0,1.0,2.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,4.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,3.0,7.0,8.0,0.0,3.0,0.0,1.0,0.0,5.0,1.0,16.0,4.0,0.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,12.0,0.0,0.0,1.0,0.0,3.0,5.0,2.0,5.0,13.0,11.0,20.0,0.0,1.0,4.0,7.0,1.0,12.0,18.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,9.0,0.0,12.0,0.0,0.0,1.0,32.0,1.0,2.0,0.0,1.0,5.0,0.0,6.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0
