,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309
172,357389582.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,0.0,0.0,13.0,1.0,2.0,3.0,0.0,5.0,0.0,1.0,0.0,7.0,0.0,2.0,16.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,3.0,2.0,3.0,8.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,3.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,8.0,1.0,4.0,8.0,2.0,1.0,5.0,0.0,7.0,1.0,2.0,5.0,2.0,2.0,1.0,4.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,3.0,6.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,6.0,1.0,6.0,3.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,4.0,1.0,0.0,0.0,3.0,0.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,5.0,1.0,0.0,4.0,1.0,0.0,0.0,6.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,6.0,1.0,2.0,3.0,0.0,2.0,2.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,4.0,1.0,4.0,8.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,7.0,1.0,1.0,3.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0,0.0,1.0,5.0,4.0,5.0,1.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,3.0,2.0,0.0
173,360509494.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,0.0,4.0,2.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,1.0,5.0,2.0,2.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,3.0,1.0,5.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,2.0,4.0,1.0,3.0,0.0,2.0,0.0,2.0,0.0,5.0,0.0,3.0,3.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,2.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,3.0,4.0,0.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,3.0,0.0,1.0,0.0,2.0,4.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,5.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,3.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,4.0,3.0,2.0,1.0,1.0,1.0,5.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,2.0,5.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0
174,364324867.0,0.0,1.0,2.0,5.0,2.0,2.0,0.0,18.0,3.0,0.0,13.0,0.0,0.0,50.0,1.0,2.0,3.0,0.0,23.0,4.0,0.0,0.0,20.0,0.0,1.0,58.0,2.0,8.0,14.0,4.0,16.0,0.0,0.0,0.0,18.0,3.0,0.0,0.0,0.0,7.0,0.0,2.0,27.0,1.0,21.0,14.0,0.0,7.0,3.0,2.0,8.0,9.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,7.0,1.0,8.0,14.0,1.0,0.0,15.0,33.0,3.0,5.0,1.0,44.0,6.0,10.0,29.0,6.0,8.0,8.0,0.0,22.0,0.0,16.0,9.0,2.0,5.0,7.0,13.0,12.0,8.0,1.0,3.0,31.0,3.0,5.0,0.0,19.0,26.0,0.0,13.0,2.0,0.0,6.0,2.0,1.0,5.0,2.0,24.0,7.0,1.0,3.0,11.0,2.0,0.0,4.0,0.0,9.0,1.0,4.0,0.0,3.0,0.0,2.0,10.0,1.0,1.0,3.0,22.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,14.0,11.0,1.0,17.0,0.0,0.0,0.0,8.0,2.0,19.0,7.0,7.0,2.0,2.0,0.0,0.0,0.0,2.0,7.0,0.0,3.0,7.0,1.0,0.0,29.0,3.0,1.0,1.0,22.0,0.0,13.0,0.0,4.0,0.0,6.0,1.0,0.0,0.0,3.0,8.0,0.0,26.0,3.0,0.0,15.0,3.0,0.0,0.0,3.0,0.0,0.0,11.0,1.0,0.0,0.0,3.0,14.0,3.0,0.0,6.0,1.0,8.0,1.0,0.0,2.0,0.0,16.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,5.0,0.0,4.0,1.0,3.0,6.0,0.0,17.0,0.0,1.0,3.0,4.0,3.0,22.0,8.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,4.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,9.0,8.0,2.0,4.0,0.0,7.0,1.0,0.0,3.0,18.0,4.0,5.0,0.0,0.0,2.0,27.0,4.0,1.0,3.0,3.0,83.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,1.0,1.0,0.0,9.0,4.0,5.0,0.0,0.0,0.0,3.0,12.0,0.0,3.0,0.0,7.0,0.0,4.0,5.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,8.0,2.0,11.0,1.0,0.0,0.0,0.0,47.0,0.0,6.0,1.0
175,369334629.0,3.0,3.0,37.0,1.0,2.0,0.0,4.0,2.0,1.0,1.0,46.0,3.0,5.0,10.0,10.0,9.0,8.0,2.0,34.0,3.0,2.0,0.0,14.0,0.0,3.0,22.0,0.0,3.0,35.0,4.0,6.0,0.0,0.0,0.0,9.0,8.0,0.0,0.0,0.0,8.0,4.0,12.0,17.0,8.0,3.0,1.0,0.0,1.0,1.0,10.0,1.0,4.0,0.0,7.0,0.0,7.0,4.0,2.0,0.0,0.0,0.0,16.0,2.0,1.0,2.0,1.0,1.0,6.0,7.0,8.0,5.0,1.0,26.0,3.0,27.0,0.0,12.0,0.0,2.0,1.0,27.0,5.0,10.0,7.0,0.0,7.0,3.0,1.0,1.0,3.0,5.0,2.0,1.0,5.0,18.0,10.0,6.0,0.0,3.0,9.0,10.0,1.0,0.0,1.0,6.0,4.0,0.0,1.0,2.0,1.0,12.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,14.0,4.0,5.0,47.0,0.0,2.0,4.0,32.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,8.0,0.0,13.0,1.0,10.0,3.0,2.0,2.0,7.0,10.0,3.0,3.0,36.0,0.0,3.0,0.0,0.0,0.0,2.0,27.0,3.0,6.0,2.0,2.0,0.0,12.0,5.0,1.0,0.0,38.0,2.0,4.0,0.0,15.0,1.0,1.0,2.0,0.0,0.0,6.0,1.0,0.0,21.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,5.0,2.0,3.0,0.0,0.0,10.0,8.0,0.0,2.0,1.0,23.0,0.0,0.0,0.0,2.0,3.0,6.0,0.0,7.0,0.0,4.0,0.0,13.0,5.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,13.0,0.0,1.0,1.0,6.0,0.0,1.0,2.0,5.0,7.0,4.0,1.0,9.0,1.0,6.0,6.0,0.0,0.0,0.0,21.0,1.0,8.0,12.0,0.0,21.0,4.0,18.0,0.0,0.0,2.0,35.0,4.0,7.0,5.0,1.0,0.0,16.0,7.0,2.0,0.0,1.0,12.0,0.0,0.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,0.0,14.0,14.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,13.0,1.0,14.0,0.0,10.0,5.0,6.0,0.0,1.0,0.0,6.0,3.0,0.0,0.0,17.0,3.0,17.0,0.0,5.0,0.0,5.0,1.0,11.0,1.0
176,369576018.0,3.0,2.0,15.0,2.0,4.0,1.0,7.0,1.0,1.0,1.0,26.0,4.0,3.0,18.0,5.0,5.0,19.0,0.0,18.0,5.0,4.0,4.0,17.0,0.0,3.0,26.0,0.0,0.0,18.0,5.0,5.0,0.0,0.0,1.0,10.0,12.0,0.0,0.0,0.0,18.0,4.0,9.0,17.0,4.0,8.0,7.0,0.0,1.0,4.0,9.0,1.0,12.0,0.0,4.0,1.0,7.0,1.0,1.0,0.0,0.0,0.0,16.0,3.0,5.0,2.0,4.0,4.0,8.0,16.0,9.0,7.0,1.0,33.0,6.0,12.0,2.0,19.0,0.0,12.0,6.0,14.0,9.0,8.0,5.0,0.0,5.0,9.0,8.0,1.0,3.0,1.0,2.0,2.0,0.0,18.0,16.0,3.0,1.0,4.0,7.0,12.0,5.0,1.0,2.0,8.0,14.0,1.0,1.0,10.0,1.0,15.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,6.0,8.0,5.0,21.0,0.0,1.0,2.0,16.0,11.0,1.0,2.0,0.0,2.0,0.0,1.0,8.0,0.0,2.0,9.0,2.0,14.0,1.0,13.0,9.0,1.0,1.0,8.0,10.0,3.0,3.0,15.0,4.0,1.0,0.0,0.0,0.0,3.0,18.0,3.0,7.0,1.0,1.0,0.0,11.0,10.0,4.0,1.0,28.0,3.0,4.0,1.0,16.0,1.0,2.0,3.0,3.0,6.0,0.0,5.0,0.0,16.0,4.0,0.0,3.0,8.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,9.0,0.0,3.0,1.0,2.0,23.0,6.0,2.0,1.0,2.0,39.0,0.0,0.0,1.0,6.0,5.0,7.0,0.0,7.0,0.0,4.0,0.0,9.0,8.0,0.0,4.0,0.0,5.0,1.0,6.0,0.0,8.0,0.0,1.0,3.0,4.0,0.0,1.0,1.0,2.0,5.0,7.0,1.0,10.0,1.0,7.0,2.0,0.0,0.0,0.0,15.0,1.0,6.0,8.0,0.0,17.0,1.0,9.0,0.0,0.0,2.0,18.0,9.0,15.0,6.0,1.0,0.0,29.0,7.0,2.0,0.0,1.0,15.0,1.0,1.0,3.0,3.0,4.0,3.0,1.0,1.0,0.0,0.0,15.0,7.0,2.0,1.0,0.0,3.0,2.0,3.0,0.0,7.0,1.0,2.0,1.0,11.0,4.0,3.0,0.0,1.0,0.0,1.0,7.0,0.0,0.0,4.0,6.0,7.0,0.0,3.0,0.0,6.0,1.0,12.0,2.0
177,370394542.0,0.0,1.0,6.0,4.0,5.0,0.0,1.0,1.0,2.0,1.0,13.0,0.0,0.0,27.0,2.0,1.0,5.0,1.0,11.0,0.0,7.0,3.0,13.0,0.0,2.0,40.0,3.0,3.0,7.0,3.0,10.0,0.0,0.0,1.0,10.0,6.0,0.0,0.0,0.0,7.0,1.0,5.0,20.0,0.0,7.0,7.0,0.0,0.0,1.0,1.0,5.0,6.0,0.0,8.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,10.0,1.0,2.0,0.0,5.0,12.0,2.0,9.0,2.0,9.0,2.0,6.0,16.0,2.0,3.0,10.0,0.0,19.0,0.0,5.0,15.0,2.0,4.0,4.0,4.0,12.0,13.0,2.0,2.0,3.0,3.0,3.0,0.0,11.0,17.0,0.0,8.0,3.0,1.0,3.0,2.0,0.0,6.0,6.0,16.0,1.0,3.0,13.0,1.0,3.0,0.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,8.0,0.0,3.0,0.0,12.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,4.0,5.0,9.0,1.0,9.0,3.0,0.0,0.0,3.0,3.0,6.0,6.0,6.0,4.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,3.0,4.0,1.0,0.0,17.0,4.0,6.0,0.0,13.0,0.0,12.0,2.0,3.0,1.0,3.0,0.0,8.0,1.0,5.0,0.0,0.0,13.0,3.0,0.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,26.0,0.0,0.0,3.0,1.0,12.0,0.0,0.0,5.0,0.0,23.0,3.0,0.0,0.0,9.0,5.0,1.0,0.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,9.0,0.0,2.0,2.0,7.0,1.0,15.0,3.0,1.0,1.0,2.0,0.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,6.0,0.0,5.0,0.0,3.0,1.0,0.0,5.0,18.0,5.0,1.0,1.0,0.0,0.0,14.0,4.0,4.0,0.0,1.0,41.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,2.0,0.0,6.0,8.0,4.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,18.0,1.0,4.0,0.0
178,376033636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,376302302.0,12.0,19.0,116.0,6.0,6.0,1.0,9.0,3.0,1.0,0.0,128.0,16.0,7.0,86.0,13.0,9.0,9.0,3.0,116.0,18.0,6.0,2.0,96.0,2.0,4.0,107.0,3.0,18.0,175.0,10.0,80.0,0.0,1.0,1.0,42.0,62.0,0.0,0.0,0.0,17.0,0.0,52.0,160.0,15.0,22.0,24.0,0.0,0.0,3.0,41.0,11.0,16.0,0.0,15.0,2.0,33.0,21.0,0.0,1.0,2.0,1.0,78.0,1.0,14.0,7.0,7.0,38.0,16.0,18.0,60.0,30.0,6.0,31.0,33.0,64.0,5.0,17.0,4.0,50.0,4.0,95.0,21.0,41.0,37.0,1.0,61.0,17.0,11.0,0.0,4.0,9.0,2.0,11.0,4.0,171.0,77.0,18.0,51.0,41.0,8.0,42.0,5.0,1.0,9.0,32.0,21.0,6.0,1.0,8.0,0.0,88.0,0.0,3.0,0.0,5.0,1.0,14.0,0.0,95.0,16.0,20.0,83.0,0.0,4.0,16.0,151.0,12.0,0.0,1.0,0.0,3.0,0.0,0.0,5.0,1.0,1.0,15.0,17.0,77.0,1.0,59.0,6.0,4.0,11.0,63.0,48.0,24.0,13.0,97.0,5.0,54.0,2.0,0.0,0.0,1.0,109.0,8.0,25.0,3.0,0.0,0.0,93.0,32.0,3.0,0.0,182.0,4.0,22.0,0.0,28.0,1.0,2.0,3.0,26.0,21.0,16.0,13.0,0.0,0.0,6.0,0.0,12.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,17.0,2.0,26.0,5.0,3.0,24.0,38.0,0.0,7.0,3.0,58.0,1.0,0.0,6.0,9.0,28.0,16.0,1.0,12.0,0.0,6.0,0.0,28.0,35.0,0.0,11.0,0.0,3.0,2.0,5.0,2.0,43.0,5.0,0.0,1.0,22.0,1.0,5.0,2.0,3.0,39.0,7.0,0.0,44.0,0.0,23.0,10.0,0.0,0.0,0.0,105.0,0.0,26.0,31.0,1.0,78.0,31.0,39.0,0.0,2.0,3.0,106.0,10.0,3.0,32.0,3.0,0.0,76.0,46.0,3.0,0.0,0.0,85.0,0.0,2.0,12.0,26.0,24.0,4.0,4.0,1.0,8.0,0.0,103.0,85.0,3.0,2.0,2.0,21.0,2.0,12.0,0.0,45.0,0.0,23.0,2.0,15.0,29.0,52.0,0.0,0.0,2.0,10.0,12.0,0.0,0.0,69.0,9.0,28.0,0.0,8.0,0.0,68.0,0.0,79.0,4.0
180,378294105.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,9.0,2.0,1.0,3.0,0.0,7.0,1.0,3.0,1.0,4.0,0.0,2.0,15.0,2.0,2.0,3.0,2.0,2.0,0.0,0.0,1.0,6.0,2.0,0.0,0.0,0.0,5.0,1.0,2.0,10.0,0.0,3.0,4.0,0.0,0.0,2.0,0.0,3.0,6.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,5.0,1.0,3.0,2.0,5.0,0.0,4.0,5.0,2.0,2.0,6.0,0.0,14.0,1.0,3.0,6.0,2.0,2.0,0.0,6.0,11.0,3.0,1.0,1.0,3.0,1.0,2.0,0.0,5.0,10.0,0.0,2.0,2.0,1.0,4.0,1.0,0.0,2.0,1.0,14.0,2.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,6.0,0.0,1.0,0.0,11.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,8.0,1.0,4.0,2.0,0.0,0.0,2.0,1.0,5.0,5.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,4.0,1.0,0.0,10.0,1.0,1.0,0.0,13.0,0.0,5.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,4.0,3.0,0.0,6.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,10.0,0.0,0.0,2.0,1.0,8.0,0.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,3.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,2.0,2.0,2.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,6.0,3.0,1.0,1.0,0.0,0.0,3.0,6.0,2.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,9.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,8.0,1.0,2.0,0.0
181,378700152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
